Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(1,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(70,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(71,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(72,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(73,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(74,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(75,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(76,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(77,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(78,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(79,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(80,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(81,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(82,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(83,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(1,'Standard Suite','Paris','123634',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(2,'Deluxe Suite','Paris','123634',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(3,'Emperor Suite','Paris','123634',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(4,'Single Bed Room','Paris','123634',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(5,'Double Bed Room','Paris','123634',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(6,'Standard Suite','Paris','123634',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(7,'Deluxe Suite','Paris','123634',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(8,'Emperor Suite','Paris','123634',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(9,'Single Bed Room','Paris','123634',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(10,'Double Bed Room','Paris','123634',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(11,'Standard Suite','Paris','123634',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(12,'Deluxe Suite','Paris','123634',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(13,'Emperor Suite','Paris','123634',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(14,'Single Bed Room','Paris','123634',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(15,'Double Bed Room','Paris','123634',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(16,'Standard Suite','Paris','123634',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(17,'Deluxe Suite','Paris','123634',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(18,'Emperor Suite','Paris','123634',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(19,'Single Bed Room','Paris','123634',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(20,'Double Bed Room','Paris','123634',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(21,'Standard Suite','Paris','123634',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(22,'Deluxe Suite','Paris','123634',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(23,'Emperor Suite','Paris','123634',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(24,'Single Bed Room','Paris','123634',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(1,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(2,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(3,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(4,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(5,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(6,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(7,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(8,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(9,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(10,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(11,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(12,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(13,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(14,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(15,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(16,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(17,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(18,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(19,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(20,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(21,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(22,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(23,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(24,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(25,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(26,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(27,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(28,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(29,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(30,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(31,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(32,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(33,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(34,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(35,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(36,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(37,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(38,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(39,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(40,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(41,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(42,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(43,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(44,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(45,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(46,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(47,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(48,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(49,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(50,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(51,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(52,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(53,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(54,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(55,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(56,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(57,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(58,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(59,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(60,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(61,'Standard Suite','Singapore','345123',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(62,'Deluxe Suite','Singapore','345123',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(63,'Emperor Suite','Singapore','345123',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(64,'Single Bed Room','Singapore','345123',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(65,'Double Bed Room','Singapore','345123',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(1,'Standard Suite','New Delhi','435213',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(2,'Deluxe Suite','New Delhi','435213',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(3,'Emperor Suite','New Delhi','435213',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(4,'Single Bed Room','New Delhi','435213',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(5,'Double Bed Room','New Delhi','435213',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(6,'Standard Suite','New Delhi','435213',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(1,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(2,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(3,'Emperor Suite','Los Angeles','342341',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(4,'Single Bed Room','Los Angeles','342341',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(5,'Double Bed Room','Los Angeles','342341',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(6,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(7,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(8,'Emperor Suite','Los Angeles','342341',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(9,'Single Bed Room','Los Angeles','342341',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(10,'Double Bed Room','Los Angeles','342341',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(11,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(12,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(13,'Emperor Suite','Los Angeles','342341',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(14,'Single Bed Room','Los Angeles','342341',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(15,'Double Bed Room','Los Angeles','342341',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(16,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(17,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(18,'Emperor Suite','Los Angeles','342341',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(19,'Single Bed Room','Los Angeles','342341',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(20,'Double Bed Room','Los Angeles','342341',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(21,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(22,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(23,'Emperor Suite','Los Angeles','342341',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(24,'Single Bed Room','Los Angeles','342341',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(25,'Double Bed Room','Los Angeles','342341',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(26,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(27,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(28,'Emperor Suite','Los Angeles','342341',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(29,'Single Bed Room','Los Angeles','342341',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(30,'Double Bed Room','Los Angeles','342341',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(31,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(32,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(33,'Emperor Suite','Los Angeles','342341',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(34,'Single Bed Room','Los Angeles','342341',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(35,'Double Bed Room','Los Angeles','342341',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(36,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(37,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(38,'Emperor Suite','Los Angeles','342341',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(39,'Single Bed Room','Los Angeles','342341',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(40,'Double Bed Room','Los Angeles','342341',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(41,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(42,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(43,'Emperor Suite','Los Angeles','342341',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(44,'Single Bed Room','Los Angeles','342341',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(45,'Double Bed Room','Los Angeles','342341',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(46,'Standard Suite','Los Angeles','342341',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(47,'Deluxe Suite','Los Angeles','342341',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(1,'Standard Suite','Rome','431345',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(2,'Deluxe Suite','Rome','431345',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(3,'Emperor Suite','Rome','431345',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(4,'Single Bed Room','Rome','431345',1,100);
